No,active_prompt
1,고양이가 활발하게 움직이며 햇살 아래 고양이가 늘어지게 낮잠 뛰어다니는 장면
2,"강아지가 에너제틱하게 커피잔 옆에 누워 움직이고 있는 강아지, 창문 밖엔 빗방울이 맺혀 있다"
3,강아지가 에너제틱하게 강아지가 꼬리를 흔들며 주인을 반기는 순간
4,활동적인 분위기 속에서 햄스터가 손바닥 위에서 잠드는 장면
5,고양이가 활발하게 움직이며 고양이가 종이박스 속에서 장난치는 장면
6,강아지가 에너제틱하게 어린아이가 강아지에게 사탕을 내미는 장면
7,활동적인 분위기 속에서 따뜻한毛담요 위에서 함께 장난치는 반려묘 두 마리
8,"강아지가 에너제틱하게 비 오는 날, 강아지가 작은 우산을 쓰고 걷는 장면"
9,고양이가 활발하게 움직이며 책상 위 노트북 옆에서 고양이가 키보드를 눌러버리는 장면
10,고양이가 활발하게 움직이며 아기 고양이가 유리컵 속 물방울을 잡으려는 순간
11,강아지가 에너제틱하게 해질녘에 주인과 산책하는 강아지의 뒷달리고 있는 장면
12,활동적인 분위기 속에서 작은 토끼가 꽃잎 위를 폴짝 뛰는 장면
13,고양이가 활발하게 움직이며 고양이가 식물 화분 냄새를 맡으며 킁킁거리는 달리고 있는 장면
14,강아지가 에너제틱하게 귀여운 강아지가 이불 속에서 코만 내밀고 뛰어다니는 달리고 있는 장면
15,강아지가 에너제틱하게 새벽에 유리창에 코를 대고 눈송이를 잡으려는 강아지
16,강아지가 에너제틱하게 강아지가 주인의 손바닥 위에서 하품하는 장면
17,고양이가 활발하게 움직이며 햇살 아래 고양이가 하품하며 몸을 늘리는 장면
18,강아지가 에너제틱하게 창가에서 강아지가 꼬리를 흔들며 바깥을 보는 달리고 있는 장면
19,강아지가 에너제틱하게 작은 오리 인형을 껴안고 뛰어다니는 강아지
20,"고양이가 활발하게 움직이며 아침햇살이 스며드는 방, 고양이가 커튼 사이로 얼굴을 내민다"
21,고양이가 활발하게 움직이며 고양이와 주인이 함께 커피를 마시는 아늑한 아침
22,활동적인 분위기 속에서 토끼가 손으로 당근을 꼭 쥐고 먹는 달리고 있는 장면
23,강아지가 에너제틱하게 강아지가 모래사장에서 뛰어노는 장면
24,활동적인 분위기 속에서 냥이가 거울 속 자신의 달리고 있는 장면을 보고 깜짝 놀라는 순간
25,고양이가 활발하게 움직이며 창가의 화분 위에서 낮잠 뛰어다니는 고양이
